,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
1228,3412,258,45.35,1,3.83,1,7.87,1,8.86,0,0.0,1,34.02
1229,3413,14268,36.61,40,6.37,24,7.29,19,11.870000000000001,4,4.18,11,33.62
1230,3414,290,93.81,1,6.14,0,0.0,0,0.0,0,0.0,0,0.0
1231,3416,4092,20.799999999999997,28,5.18,12,4.93,6,4.48,2,2.32,13,62.2
1232,3419,21826,53.080000000000005,39,4.58,29,7.08,10,4.529999999999999,1,0.76,16,29.9
1233,3426,1001,26.08,12,7.18,9,9.15,4,8.91,0,0.0,4,48.61
1234,3429,420,9.399999999999999,21,5.96,17,10.55,12,14.559999999999999,1,1.8,10,57.66
1235,3430,983,23.75,14,6.47,13,11.03,8,14.290000000000001,1,3.17,7,41.21
1236,3431,12633,37.85,32,8.02,8,3.81,3,3.55,0,0.0,4,46.69
1237,3432,2738,22.200000000000003,12,2.63,18,7.99,7,6.03,1,1.33,9,59.74
1238,3434,1608,36.33,13,8.34,9,11.06,6,15.32,1,4.11,4,24.78
1239,3437,27466,57.57,56,5.4,27,4.97,7,2.7,2,1.18,8,28.09
1240,3438,9107,34.089999999999996,10,3.11,5,2.97,0,0.0,0,0.0,4,59.78
1241,3441,17427,58.57000000000001,18,6.3,11,8.06,4,4.97,2,4.26,5,17.77
1242,3443,10713,17.2,44,4.97,44,9.45,14,5.67,4,2.57,15,60.06
1243,3444,4057,33.86000000000001,15,4.81,13,9.03,4,5.609999999999999,3,7.36,10,39.26
1244,3447,392,6.110000000000001,17,3.49,3,1.29,6,4.390000000000001,3,3.62,5,81.03
1245,3450,37270,66.27000000000001,38,3.52,19,3.77,11,4.42,3,1.7,9,20.23
1246,3452,20935,20.009999999999998,62,2.68,32,2.72,21,3.71,7,2.01,26,68.81
1247,3454,15269,24.880000000000003,18,2.76,9,2.89,6,3.77,1,0.99,4,64.64
1248,3455,22267,43.55,39,9.12,27,13.16,17,15.74,3,4.91,6,13.47
1249,3462,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0
1250,3463,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
1251,3465,4432,14.5,5,1.98,3,2.03,2,3.95,1,3.09,2,74.37
1252,3466,7881,29.94,30,7.06,12,5.99,15,14.850000000000001,3,4.42,10,37.65
1253,3469,161,12.02,9,6.28,12,17.15,8,19.58,1,3.9,6,40.99
1254,3471,497,33.75,4,11.34,2,10.51,2,18.94,0,0.0,1,25.39
1255,3472,1621,25.69,42,8.13,28,10.09,12,8.79,3,3.39,7,43.84
1256,3475,1907,99.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1257,3479,12519,38.769999999999996,28,5.45,19,7.63,8,6.029999999999999,3,3.71,7,38.32
1258,3481,605240,39.51,4083,5.54,1689,4.48,751,3.95,140,1.21,643,45.22
1259,3482,539,49.24000000000001,3,6.89,0,0.0,3,27.16,0,0.0,1,16.64
1260,3483,30117,58.36999999999999,39,7.07,18,6.75,19,13.329999999999998,5,5.92,4,8.5
1261,3484,21393,48.63000000000001,41,8.25,24,9.47,15,11.96,1,1.25,8,20.35
1262,3485,479,15.22,29,12.8,13,11.79,11,19.439999999999998,5,14.14,6,26.55
1263,3489,2387,15.25,17,3.01,7,2.36,9,6.140000000000001,4,4.23,6,68.96
1264,3490,15907,62.51,37,8.65,16,7.75,10,10.26,3,4.75,2,6.02
1265,3491,15531,49.879999999999995,32,7.31,22,9.03,11,9.27,5,7.34,6,17.09
1266,3492,2928,38.22,15,6.33,10,7.38,3,3.95,3,7.87,1,36.18
