,證券代號,證券名稱,公司名稱,資本額,成立日期,上市日期,殖利率,本益比,淨值比
188,1789,神隆,台灣神隆股份有限公司,79.0739222,19971111,20110929,1.03,59.18,2.18
189,1795,美時,美時化學製藥股份有限公司,26.5518312,19660630,20191216,1.51,20.73,4.77
190,1802,台玻,台灣玻璃工業股份有限公司,290.80608,19640825,19730720,0.00,87.95,1.14
191,1805,寶徠,寶徠建設股份有限公司,10.018578,19780630,19891020,0.00,-,2.51
192,1806,冠軍,冠軍建材股份有限公司,39.040387,19721124,19920929,0.00,107.27,0.84
193,1808,潤隆,潤隆建設股份有限公司,45.1026133,19770110,19941026,13.33,7.06,4.06
194,1809,中釉,中國製釉股份有限公司,16.7041937,19741206,19960430,0.79,280.00,1.44
195,1810,和成,和成欣業股份有限公司,30.2303719,19630415,19911014,1.08,369.00,0.82
196,1817,凱撒衛,凱撒衛浴股份有限公司,7.26,19880126,20131024,4.49,10.72,1.37
197,1903,士紙,士林紙業股份有限公司,26.0039121,19590908,19631209,0.00,143.33,4.04
198,1904,正隆,正隆股份有限公司,110.8274522,19590204,19710910,1.75,37.08,1.10
199,1905,華紙,中華紙漿股份有限公司,110.2835316,19680705,19750207,0.00,-,1.48
200,1906,寶隆,寶隆國際股份有限公司,15.1,19650520,19760426,0.94,20.45,0.55
201,1907,永豐餘,永豐餘投資控股股份有限公司,166.0371495,19500220,19770222,2.93,24.21,0.83
202,1909,榮成,榮成紙業股份有限公司,132.7685727,19780318,19851119,0.00,-,0.82
203,2002,中鋼,中國鋼鐵股份有限公司,1577.3128996,19711203,19741226,1.52,115.50,1.13
204,2006,東和鋼鐵,東和鋼鐵企業股份有限公司,73.0213818,19620530,19880713,6.03,10.82,1.74
205,2007,燁興,燁興企業股份有限公司,53.0651613,19780718,19881004,0.00,-,1.10
206,2008,高興昌,高興昌鋼鐵股份有限公司,19.0852293,19660115,19881228,3.80,13.49,1.48
207,2009,第一銅,第一伸銅科技股份有限公司,35.9622165,19690728,19891020,0.00,-,2.30
208,2010,春源,春源鋼鐵工業股份有限公司,64.765539,19660107,19891222,4.94,15.11,1.15
209,2012,春雨,春雨工廠股份有限公司,30.21627,19650327,19911017,3.71,26.63,1.66
210,2013,中鋼構,中國鋼鐵結構股份有限公司,20.0,19780224,19920121,3.28,20.86,2.13
211,2014,中鴻,中鴻鋼鐵股份有限公司,143.5544446,19830929,19920220,0.47,-,1.94
212,2015,豐興,豐興鋼鐵股份有限公司,58.1599424,19690107,19920525,4.54,18.80,2.19
213,2017,官田鋼,官田鋼鐵股份有限公司,44.6874691,19730728,19921102,0.00,121.25,1.08
214,2020,美亞,美亞鋼管廠股份有限公司,22.25261,19590929,19930427,11.10,6.25,1.96
215,2022,聚亨,聚亨企業股份有限公司,33.7168138,19801203,19950327,1.79,65.88,1.05
216,2023,燁輝,燁輝企業股份有限公司,194.5310994,19780414,19950728,2.60,-,1.00
217,2024,志聯,志聯工業股份有限公司,9.75,19730903,19951230,0.00,-,1.93
218,2025,千興,千興不銹鋼(股)公司,28.1167262,19720508,19960208,0.00,20.58,2.13
219,2027,大成鋼,大成不銹鋼工業股份有限公司,243.4260615,19861127,19961024,3.34,17.34,1.15
220,2028,威致,威致鋼鐵工業股份有限公司,32.57148,19821027,19961213,3.06,21.97,1.88
221,2029,盛餘,盛餘股份有限公司,32.118,19730519,19970111,4.50,14.30,0.92
222,2030,彰源,彰源企業股份有限公司,28.0526027,19841005,19981224,2.82,-,1.01
223,2031,新光鋼,新光鋼鐵股份有限公司,32.1146341,19670101,20000911,4.69,10.53,1.73
224,2032,新鋼,新鋼工業股份有限公司,13.0521545,19710710,20000911,0.00,566.67,1.33
225,2033,佳大,佳大世界股份有限公司,8.0694536,19730423,20000911,0.00,191.25,1.20
226,2034,允強,允強實業股份有限公司,47.0225633,19730131,20010917,3.95,-,1.25
227,2038,海光,海光企業股份有限公司,19.0327748,19690321,20081230,0.00,75.58,1.00
228,2049,上銀,上銀科技股份有限公司,35.379224,19891011,20090626,1.17,37.97,2.18
229,2059,川湖,川湖科技股份有限公司,9.5297072,19860922,20080625,1.14,32.52,6.62
230,2062,橋椿,橋椿金屬股份有限公司,19.9994152,19840709,20071116,2.87,11.16,0.74
231,2069,運錩,運錩鋼鐵股份有限公司,16.6386836,19870724,20160322,3.10,-,0.72
232,2101,南港,南港輪胎股份有限公司,83.3934904,19590225,19631101,0.00,226.52,4.12
233,2102,泰豐,泰豐輪胎股份有限公司,47.3329207,19551123,19790716,0.00,-,1.34
234,2103,台橡,台橡股份有限公司,82.5709978,19731122,19820925,2.34,28.80,0.99
235,2104,國際中橡,國際中橡投資控股股份有限公司,98.4733625,19730615,19860715,0.00,-,0.49
236,2105,正新,正新橡膠工業股份有限公司,324.1415536,19691219,19871207,4.04,20.52,1.95
237,2106,建大,建大工業股份有限公司,95.489,19620330,19901220,2.97,18.93,1.62
238,2107,厚生,厚生股份有限公司,30.35934,19630122,19920303,4.82,14.18,0.63
239,2108,南帝,南帝化學工業股份有限公司,49.2416659,19790110,19921027,2.71,28.38,1.29
240,2109,華豐,華豐橡膠工業股份有限公司,27.9349134,19590527,20000508,6.32,10.86,1.58
241,2114,鑫永銓,鑫永銓股份有限公司,7.7991707,19690822,20101229,4.85,17.00,2.52
242,2115,六暉-KY,六暉控股股份有限公司,9.9403013,20091019,20131225,3.00,35.05,1.05
243,2201,裕隆,裕隆汽車製造股份有限公司,107.0001251,19530910,19760708,2.10,16.29,1.15
244,2204,中華,中華汽車工業股份有限公司,55.3620342,19690613,19910312,4.84,12.65,2.02
245,2206,三陽工業,三陽工業股份有限公司,79.7489604,19610829,19960729,3.80,9.87,2.60
246,2207,和泰車,和泰汽車股份有限公司,55.7102768,19550425,19970225,3.22,14.63,5.27
247,2208,台船,台灣國際造船股份有限公司,127.4539449,19731107,20081222,0.00,-,1.99
248,2211,長榮鋼,長榮鋼鐵股份有限公司,41.7091463,19730129,20210412,4.66,15.87,2.30
249,2227,裕日車,裕隆日產汽車股份有限公司,30.0,20031022,20041221,2.55,29.80,2.16
250,2228,劍麟,劍麟股份有限公司,7.5780281,19770427,20131125,4.44,12.47,1.81
251,2231,為升,為升電裝工業股份有限公司,14.0917608,19890109,20101119,2.53,41.15,3.83
252,2233,宇隆,宇隆科技股份有限公司,6.0288089,19871229,20190917,3.69,14.75,2.26
253,2236,百達-KY,百達精密工業股份有限公司,5.0391249,20110629,20150603,0.87,34.73,2.58
254,2239,英利-KY,開曼英利工業股份有限公司,12.0346593,20150116,20160127,1.27,23.48,0.52
255,2241,艾姆勒,艾姆勒科技股份有限公司,10.4602306,20110624,20200826,0.00,-,2.77
256,2243,宏旭-KY,宏旭控股股份有限公司,6.9373596,20150324,20170927,0.00,-,1.77
257,2247,汎德永業,汎德永業汽車股份有限公司,8.0708735,19791107,20201012,6.06,13.28,2.03
258,2250,IKKA-KY,第一化成控股(開曼)股份有限公司,3.1326908,20160331,20210531,3.08,19.51,1.76
259,2254,巨鎧精密-創,巨鎧精密工業股份有限公司,6.390768,20130914,20231020,0.00,-,5.57
260,2258,鴻華先進-創,鴻華先進科技股份有限公司,174.1314,20201106,20231120,0.00,-,4.49
261,2301,光寶科,光寶科技股份有限公司,234.7546363,19890317,19951117,4.25,16.69,2.92
262,2302,麗正,麗正國際科技股份有限公司,16.6302881,19760123,19850115,1.70,32.02,1.73
263,2303,聯電,聯華電子股份有限公司,1252.8588907,19800522,19850716,5.39,12.63,1.85
264,2305,全友,全友電腦股份有限公司,20.5660827,19801023,19881021,0.00,110.95,2.12
265,2308,台達電,台達電子工業股份有限公司,259.7543329,19750820,19881219,1.66,31.22,4.77
266,2312,金寶,金寶電子工業股份有限公司,150.1988211,19730424,19891107,1.68,28.41,1.23
267,2313,華通,華通電腦股份有限公司,119.1820589,19730830,19900724,1.84,20.20,2.47
268,2314,台揚,台揚科技股份有限公司,25.202832,19830331,19900808,0.00,-,4.70
269,2316,楠梓電,楠梓電子股份有限公司,18.2740536,19780502,19910205,0.89,9.67,1.11
270,2317,鴻海,鴻海精密工業股份有限公司,1386.2990609,19740220,19910618,2.52,19.62,1.99
271,2321,東訊,東訊股份有限公司,3.0271929,19800925,19911108,0.00,-,2.59
272,2323,中環,中環股份有限公司,108.9348328,19781202,19920217,5.38,17.33,0.75
273,2324,仁寶,仁寶電腦工業股份有限公司,440.7146625,19840601,19920218,3.46,18.56,1.26
274,2327,國巨,國巨股份有限公司,42.3173698,19870909,19931022,3.01,17.07,2.24
275,2328,廣宇,廣宇科技股份有限公司,51.8346282,19710519,19931109,3.25,18.37,1.58
276,2329,華泰,華泰電子股份有限公司,74.0488333,19710612,19940420,2.02,19.70,3.91
277,2330,台積電,台灣積體電路製造股份有限公司,2593.3629242,19870221,19940905,1.35,29.24,6.89
