資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20211217,00640L,7,13,467000,4.08
20211217,00640L,8,9,412000,3.60
20211217,00640L,9,6,432000,3.78
20211217,00640L,10,3,529000,4.63
20211217,00640L,11,2,680000,5.95
20211217,00640L,12,0,0,0.00
20211217,00640L,13,5,3422982,29.97
20211217,00640L,14,0,0,0.00
20211217,00640L,15,2,3106559,27.20
20211217,00640L,16,0,0,0.00
20211217,00640L,17,447,11419000,100.00
20211217,00641R,1,12,2431,0.00
20211217,00641R,2,428,1102886,4.20
20211217,00641R,3,163,1372203,5.22
20211217,00641R,4,64,852000,3.24
20211217,00641R,5,63,1178000,4.48
20211217,00641R,6,67,1784000,6.79
20211217,00641R,7,34,1278131,4.86
20211217,00641R,8,18,838000,3.19
20211217,00641R,9,51,3561000,13.56
20211217,00641R,10,27,3337000,12.70
20211217,00641R,11,10,2733000,10.40
20211217,00641R,12,1,421000,1.60
20211217,00641R,13,0,0,0.00
20211217,00641R,14,0,0,0.00
20211217,00641R,15,3,7798349,29.69
20211217,00641R,16,0,0,0.00
20211217,00641R,17,941,26258000,100.00
20211217,00642U,1,753,181832,0.03
20211217,00642U,2,18169,46406488,7.85
20211217,00642U,3,6141,50901253,8.61
20211217,00642U,4,2333,30842793,5.22
20211217,00642U,5,1907,35878374,6.07
20211217,00642U,6,1697,44746339,7.57
20211217,00642U,7,856,31348966,5.30
20211217,00642U,8,656,30902063,5.23
20211217,00642U,9,1132,83372476,14.11
20211217,00642U,10,479,68450936,11.58
20211217,00642U,11,171,48159413,8.15
20211217,00642U,12,52,25636000,4.33
20211217,00642U,13,19,13160000,2.22
20211217,00642U,14,5,4598000,0.77
20211217,00642U,15,25,76236067,12.90
20211217,00642U,16,0,0,0.00
20211217,00642U,17,34395,590821000,100.00
20211217,00643,1,382,131505,0.16
20211217,00643,2,2520,6596885,8.50
20211217,00643,3,835,7090513,9.14
20211217,00643,4,262,3485373,4.49
20211217,00643,5,201,3842830,4.95
20211217,00643,6,216,5665553,7.30
20211217,00643,7,85,3095435,3.99
20211217,00643,8,100,4807238,6.19
20211217,00643,9,121,9057450,11.67
20211217,00643,10,56,8012643,10.33
20211217,00643,11,19,5211000,6.71
20211217,00643,12,9,4478000,5.77
20211217,00643,13,6,4104000,5.29
20211217,00643,14,3,2746000,3.54
20211217,00643,15,6,9238575,11.91
20211217,00643,16,0,0,0.00
20211217,00643,17,4821,77563000,100.00
20211217,00643K,1,0,0,0.00
20211217,00643K,2,2,5000,3.64
20211217,00643K,3,1,10000,7.29
20211217,00643K,4,0,0,0.00
20211217,00643K,5,1,19000,13.86
20211217,00643K,6,1,25000,18.24
20211217,00643K,7,0,0,0.00
20211217,00643K,8,0,0,0.00
20211217,00643K,9,1,78000,56.93
20211217,00643K,10,0,0,0.00
20211217,00643K,11,0,0,0.00
20211217,00643K,12,0,0,0.00
20211217,00643K,13,0,0,0.00
20211217,00643K,14,0,0,0.00
20211217,00643K,15,0,0,0.00
20211217,00643K,16,0,0,0.00
20211217,00643K,17,6,137000,100.00
20211217,00645,1,1486,485004,2.30
20211217,00645,2,956,1919925,9.14
20211217,00645,3,127,956103,4.55
20211217,00645,4,38,480479,2.28
20211217,00645,5,30,546459,2.60
20211217,00645,6,15,358536,1.70
20211217,00645,7,6,226000,1.07
20211217,00645,8,1,50000,0.23
20211217,00645,9,4,277000,1.31
20211217,00645,10,5,663000,3.15
20211217,00645,11,5,1565000,7.45
20211217,00645,12,0,0,0.00
20211217,00645,13,4,2818000,13.42
20211217,00645,14,1,947000,4.51
20211217,00645,15,3,9704494,46.21
20211217,00645,16,0,0,0.00
20211217,00645,17,2681,20997000,100.00
20211217,00646,1,6255,1989158,0.93
20211217,00646,2,7167,14379569,6.75
20211217,00646,3,1033,7805857,3.66
20211217,00646,4,340,4332905,2.03
20211217,00646,5,196,3555854,1.66
20211217,00646,6,160,4017843,1.88
20211217,00646,7,97,3405418,1.59
20211217,00646,8,48,2183673,1.02
20211217,00646,9,73,5189968,2.43
20211217,00646,10,37,5042351,2.36
20211217,00646,11,7,1850511,0.86
20211217,00646,12,4,1952926,0.91
20211217,00646,13,1,648000,0.30
20211217,00646,14,6,5506654,2.58
20211217,00646,15,15,151124313,70.95
20211217,00646,16,0,0,0.00
20211217,00646,17,15439,212985000,100.00
20211217,00647L,1,32,2631,0.05
20211217,00647L,2,217,455403,10.31
20211217,00647L,3,47,368001,8.33
20211217,00647L,4,23,296000,6.70
20211217,00647L,5,11,193000,4.37
20211217,00647L,6,9,241000,5.45
20211217,00647L,7,4,134000,3.03
20211217,00647L,8,3,136000,3.07
20211217,00647L,9,4,310000,7.01
20211217,00647L,10,4,513000,11.61
20211217,00647L,11,2,472000,10.68
20211217,00647L,12,1,551000,12.47
20211217,00647L,13,1,743965,16.84
20211217,00647L,14,0,0,0.00
20211217,00647L,15,0,0,0.00
20211217,00647L,16,0,0,0.00
20211217,00647L,17,358,4416000,100.00
20211217,00648R,1,21,3758,0.00
20211217,00648R,2,1136,3039558,1.68
20211217,00648R,3,499,4225154,2.33
20211217,00648R,4,216,2851600,1.57
20211217,00648R,5,227,4270000,2.36
20211217,00648R,6,212,5661000,3.13
20211217,00648R,7,143,5235000,2.89
20211217,00648R,8,117,5566000,3.08
20211217,00648R,9,241,18125682,10.03
20211217,00648R,10,133,18966000,10.49
20211217,00648R,11,50,14055000,7.77
20211217,00648R,12,22,10739000,5.94
20211217,00648R,13,8,5501000,3.04
20211217,00648R,14,1,1000000,0.55
20211217,00648R,15,12,81449248,45.07
20211217,00648R,16,0,0,0.00
20211217,00648R,17,3038,180688000,100.00
20211217,00650L,1,27,4264,0.01
20211217,00650L,2,631,1625166,5.27
20211217,00650L,3,242,1991925,6.45
20211217,00650L,4,81,1061070,3.44
20211217,00650L,5,81,1510000,4.89
20211217,00650L,6,81,2127000,6.89
20211217,00650L,7,38,1363000,4.41
20211217,00650L,8,36,1703000,5.52
20211217,00650L,9,56,4156000,13.47
20211217,00650L,10,21,2932629,9.50
20211217,00650L,11,13,3243946,10.51
20211217,00650L,12,5,2468000,8.00
