,證券代號,證券名稱,公司名稱,實收資本額,成立日期,上市日期,殖利率,本益比,淨值比,收盤(1ma / 5ma / 20ma / 60ma),張數(1ma / 5ma / 20ma / 60ma),外資持股(%)(1ma / 5ma / 20ma / 60ma),券資比(%)(1ma / 5ma / 20ma / 60ma), 超額買超, 重押券商, 籌碼集中度, 買賣家數差
0,3028,增你強,增你強股份有限公司,2138248640,19821006,20020826,5.28,9.28,1.51,👍    36.0 /    35.68 /    33.95 /    33.23,   832.0 /   2453.0 /   1129.8 /  1514.07,    8.44 /     8.38 /     8.14 /     8.29,    4.19 /     3.72 /     2.89 /     1.64,0.8,,-3.49,72
0,3033,威健,威健實業股份有限公司,4157722690,19770120,20020826,4.29,8.64,1.70,👍    31.0 /    30.68 /    30.79 /    30.58,  1741.0 /   3902.2 /  3831.65 /  7133.26,    10.5 /    10.58 /    10.66 /    10.34,    5.53 /     6.36 /     8.96 /     7.92,1.06,,3.74,62
0,3044,健鼎,健鼎科技股份有限公司,5256058980,19911216,20020826,5.63,11.13,1.88,👍   130.5 /    128.7 /    127.5 /   124.39,   784.0 /   1068.2 /   1139.9 /   979.42,    42.7 /    42.64 /    42.54 /    42.17,    2.39 /     2.61 /     2.57 /     1.59,0.44,,-6.63,52
0,3048,益登,益登科技股份有限公司,2448297940,19960711,20021001,8.20,8.24,2.17,   35.35 /    35.56 /    34.05 /    32.79,  3566.0 /   4647.6 /  2072.15 /  1245.79,    6.17 /     6.84 /     6.46 /     6.45,    1.47 /     0.73 /      0.3 /     0.33,0.78,,3.45,-4
0,3209,全科,全科科技股份有限公司,2005321840,19910415,20081126,6.30,8.89,1.82,👍   31.75 /    30.92 /    29.47 /    29.18,  2342.0 /   2012.4 /   1021.9 /   643.91,    5.26 /     4.74 /     4.07 /     4.37,    0.05 /     0.05 /     0.15 /      0.3,1.31,,12.72,-285
0,3312,弘憶股,弘憶國際股份有限公司,1376254550,19951006,20101229,3.96,8.04,1.93,👍   25.25 /    24.74 /    24.24 /    24.51,  1394.0 /    917.8 /   756.45 /  2016.86,    6.42 /      6.0 /     5.63 /     6.45,    0.02 /     0.02 /     0.21 /     0.64,1.58,,10.33,-126
0,3702,大聯大,大聯大投資控股股份有限公司,18790568330,20051109,20051109,5.55,9.65,1.55,👍    55.9 /    55.82 /    54.92 /    52.43,  3001.0 /   4295.6 /  4793.75 /  4479.42,    27.4 /    27.34 /    27.02 /    26.78,    0.62 /     0.55 /     0.54 /     0.46,0.69,,4.37,33
0,3706,神達,神達投資控股股份有限公司,12065567890,20130912,20130912,2.95,3.29,0.82,👍   33.95 /    33.92 /    33.44 /    33.51,  3095.0 /   5175.8 /   4175.0 /  8987.79,    12.3 /    12.32 /    12.33 /    11.78,    0.41 /      0.4 /     0.89 /     0.83,0.51,,⚠️-15.51,179
0,6257,矽格,矽格股份有限公司,4517588830,19881215,20030825,4.89,10.23,1.84,👍    58.7 /    58.36 /     58.4 /    58.74,   660.0 /   1161.0 /  2665.55 /   2591.0,    22.9 /    22.86 /     23.1 /    23.91,    1.46 /     1.51 /     1.54 /     1.33,0.46,,⚠️-11.97,94
0,8112,至上,至上電子股份有限公司,4284964730,19870305,20071231,5.60,8.45,2.18,👍    53.6 /    52.51 /    50.14 /    48.27, 10417.0 /  24519.4 /  8354.35 /  6334.33,    23.1 /    23.64 /     23.6 /    23.14,    2.27 /     1.41 /     0.88 /     0.76,1.0,,-5.39,592
0,8150,南茂,南茂科技股份有限公司,7272401260,19970728,20140411,4.51,8.19,1.55,👍   48.75 /    47.35 /    47.61 /    47.25,  4512.0 /   5310.2 /  10442.9 /  7698.05,    43.9 /    43.92 /    44.92 /    46.23,    1.26 /     1.32 /     2.29 /     4.38,0.86,,-0.85,5
0,8213,志超,志超科技股份有限公司,2712424880,19980421,20091225,7.05,8.21,1.03,👍   49.65 /    48.25 /    47.92 /    47.74,🏆  5013.0 /   1533.4 /   924.15 /   850.26,    21.7 /    21.32 /    21.28 /    21.06,    0.56 /     0.71 /     0.68 /     0.36,1.82,,7.34,-353
