,排  名,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
239,228,006208,富邦台50,市,01/17,,85.45,+0.85,+1,3573,305,84.6,84.95,85.7,84.95,0.89,,,,,,
240,229,3704,合勤控,市,01/17,,32.4,+1.3,+4.18,3566,114,31.1,31.2,32.45,31.1,4.34,10.6,1.59,,,,
242,231,6120,達運,市,01/17,,13.65,+0.3,+2.25,3511,47.5,13.35,13.35,13.8,13.25,4.12,,1,,,,
244,233,3034,聯詠,市,01/17,,501,+6.5,+1.31,3453,1722,494.5,494.5,503,492,2.22,9.66,5.14,,,,
247,235,2308,台達電,市,01/17,,273.5,+2,+0.74,3437,937,271.5,270.5,274,270,1.47,25.4,4.77,,,,
248,236,6191,精成科,市,01/17,,36.8,+1.3,+3.66,3429,126,35.5,36.1,36.85,36.05,2.25,6.58,1.14,,,,
249,237,3702,大聯大,市,01/17,,53.5,+0.1,+0.19,3363,179,53.4,53,53.6,53,1.12,8.64,1.48,,,,
250,238,6531,愛普*,市,01/17,,414.5,+3,+0.73,3359,1394,411.5,416,423.5,408,3.77,29.8,14.5,,,,
253,241,00714,群益道瓊美國地產,市,01/17,,22.87,+0.03,+0.13,3336,76.2,22.84,22.85,22.93,22.8,0.57,,,,,,
255,243,2359,所羅門,市,01/17,,25,+1.1,+4.6,3246,80.6,23.9,24.2,25.2,24.2,4.18,51,0.96,,,,
256,244,2327,國巨,市,01/17,,501,+9,+1.83,3231,1597,492,490.5,501,488,2.64,10.8,3.29,,,,
258,246,1533,車王電,市,01/17,,60.7,+1.8,+3.06,3230,191,58.9,59.3,60.8,57.4,5.77,41.9,2.46,,,,
259,247,3016,嘉晶,市,01/17,,123,+2.5,+2.07,3221,393,120.5,121,124,118.5,4.56,126,7.92,,,,
267,254,00669R,國泰美國道瓊反1,市,01/17,,7.57,+0.05,+0.66,3107,23.5,7.52,7.57,7.57,7.56,0.13,,,,,,
271,258,3010,華立,市,01/17,,107.5,+5,+4.88,2987,318,102.5,104,108,103.5,4.39,10.1,1.79,,,,
272,259,2601,益航,市,01/17,,11.95,+0.1,+0.84,2962,35,11.85,11.85,11.95,11.7,2.11,85.4,1.01,,,,
273,260,2349,錸德,市,01/17,,10.05,+0.25,+2.55,2961,29.6,9.8,9.88,10.1,9.86,2.45,,1.19,,,,
275,262,6239,力成,市,01/17,,99.2,+0.7,+0.71,2950,291,98.5,98.5,99.2,98.3,0.91,9.5,1.59,,,,
276,263,3504,揚明光,市,01/17,,101,+1.7,+1.71,2931,292,99.3,100,102,97.5,4.53,,3.65,,,,
277,264,6176,瑞儀,市,01/17,,102.5,+1.5,+1.49,2922,296,101,100.5,102.5,100.5,1.98,8.69,1.61,,,,
278,265,2383,台光電,市,01/17,,274,+7,+2.62,2922,786,267,267,274,261.5,4.68,18.3,5.02,,,,
280,267,1312,國喬,市,01/17,,28.05,+0.2,+0.72,2829,78.9,27.85,27.85,28.1,27.8,1.08,3.62,0.77,,,,
282,269,00901,永豐智能車供應鏈,市,01/17,,15.65,+0.17,+1.1,2783,43.4,15.48,15.52,15.65,15.52,0.84,,,,,,
283,270,3419,譁裕,市,01/17,,22.6,+0.95,+4.39,2772,62.2,21.65,21.85,22.95,21.65,6,,1.89,,,,
285,271,2915,潤泰全,市,01/17,,102,+2,+2,2762,278,100,100,102,99.8,2.2,4.98,0.57,,,,
286,272,1714,和桐,市,01/17,,11.4,+0.15,+1.33,2753,31,11.25,11.25,11.4,11.15,2.22,21.5,0.93,,,,
288,274,1519,華城,市,01/17,,40.25,+0.45,+1.13,2707,107,39.8,39.8,40.25,38.85,3.52,38.3,3.18,,,,
290,276,3047,訊舟,市,01/17,,13.4,+0.65,+5.1,2674,35.3,12.75,12.7,13.5,12.7,6.27,,1.22,,,,
294,280,2103,台橡,市,01/17,,37.55,+0.65,+1.76,2619,98.4,36.9,37.45,37.8,37.1,1.9,8.59,1.79,,,,
295,281,00728,第一金工業30,市,01/17,,33.78,+0.34,+1.02,2607,87.8,33.44,33.5,33.83,33.5,0.99,,,,,,
297,283,2347,聯強,市,01/17,,68.1,+0.2,+0.29,2591,176,67.9,67.5,68.4,67.5,1.33,6.8,1.92,,,,
299,285,2329,華泰,市,01/17,,24.6,+0.7,+2.93,2578,63,23.9,24,24.6,23.95,2.72,13.7,2.11,,,,
304,289,2417,圓剛,市,01/17,,33,+0.2,+0.61,2532,84.4,32.8,33.6,34.4,32.8,4.88,15.1,1.5,,,,
305,290,2504,國產,市,01/17,,26.2,+0.1,+0.38,2510,65.1,26.1,26,26.25,25.7,2.11,11.1,1.5,,,,
306,291,00896,中信綠能及電動車,市,01/17,,15.4,+0.09,+0.59,2504,38.5,15.31,15.31,15.41,15.31,0.65,,,,,,
307,292,2007,燁興,市,01/17,,18.5,+0.4,+2.21,2502,45.1,18.1,18.1,18.55,17.6,5.25,,1.31,,,,
311,296,1447,力鵬,市,01/17,,9.87,+0.08,+0.82,2436,23.8,9.79,9.83,9.89,9.7,1.94,28.2,0.84,,,,
313,298,8016,矽創,市,01/17,,294.5,+9,+3.15,2423,699,285.5,288,294.5,282.5,4.2,7.5,3.55,,,,
314,299,00894,中信小資高價30,市,01/17,,16.15,+0.17,+1.06,2403,38.7,15.98,16.02,16.15,16.02,0.81,,,,,,
315,300,2369,菱生,市,01/17,,25.5,+0.7,+2.82,2401,60.8,24.8,24.9,25.6,24.8,3.23,17.6,1.72,,,,
