,排  名,代號,名稱,成交,漲跌  價,漲跌  幅,更新  日期,成交  價  歷日  排名,成交  價  創高  創低  日數,成交  張數,成交  張數  歷日  排名,成交  張數  創高  創低  日數,成交  金額  (百萬),成交  金額  歷日  排名,成交  金額  創高  創低  日數,1個月  走勢圖,3個月  走勢圖,1年  走勢圖,3年  走勢圖
155,148,3310,佳穎,103,0,0,03/29,+42,0,34,-1225,+12,3.49,+1090,+12,,,,
156,149,3521,鴻翊,21.55,+0.2,+0.94,03/29,+1034,+11,867,+192,+12,18.6,+199,+12,,,,
157,150,3652,精聯,29.15,+0.15,+0.52,03/29,+720,+2,184,+538,+12,5.33,+522,+12,,,,
158,151,3675,德微,251.5,-3.5,-1.37,03/29,+375,-2,422,+1037,+12,107,+671,+12,,,,
159,152,4133,亞諾法,31.95,-0.2,-0.62,03/29,-585,-3,196,+1710,+12,6.25,-1528,+12,,,,
160,153,4909,新復興,87.9,+5,+6.03,03/29,+8,+2,13202,+27,+12,1153,+11,+12,,,,
161,154,4927,泰鼎-KY,40.35,+0.25,+0.62,03/29,-1059,+2,1261,+1364,+12,50.4,+1466,+12,,,,
162,155,5013,強新,34.3,+0.65,+1.93,03/29,+483,+10,27,-1425,+12,0.94,-2016,+12,,,,
163,156,5514,三豐,19.9,-0.5,-2.45,03/29,+1457,-3,117,+2611,+12,2.33,+1844,+12,,,,
164,157,6416,瑞祺電通,131.5,+8.5,+6.91,03/29,+200,+704,3554,+82,+12,458,+84,+12,,,,
166,159,8933,愛地雅,10.8,+0.25,+2.37,03/29,-1300,+15,1176,+1414,+12,12.6,+1822,+12,,,,
168,161,1233,天仁,33.85,+0.15,+0.45,03/29,-2962,+3,27,-2434,+11,0.91,-2625,+11,,,,
169,162,2228,劍麟,99.7,+1.8,+1.84,03/29,+1182,+127,816,+372,+11,81.2,+529,+11,,,,
171,163,4741,泓瀚,36.95,+0.45,+1.23,03/29,+383,+35,46,+321,+11,1.7,+315,+11,,,,
172,164,5386,青雲,83.9,-1.9,-2.21,03/29,+25,-4,6565,+27,+11,586,+15,+11,,,,
173,165,6168,宏齊,24.15,-0.1,-0.41,03/29,+2427,-91,1161,+2573,+11,28,+2640,+11,,,,
174,166,6506,雙邦,17.1,-0.05,-0.29,03/29,-1177,-2,52,-1373,+11,0.89,-1401,+11,,,,
175,167,6643,M31,1410,+125,+9.73,03/29,+32,+5,1166,+380,+11,1627,+139,+11,,,,
176,168,6693,廣閎科,72.6,-2.2,-2.94,03/29,+186,-6,186,+74,+11,13.8,+75,+12,,,,
