,排  名,代號,名稱,成交,財報  季度,市值  (億),現金  (億),應收  帳款  (億),存貨  (億),速動  資產  (億),流動  資產  (億),投資  (億),固定  資產  (億),無形  資產  (億),其他  資產  (億),資產  總額  (億),流動  負債  (億),長期  負債  (億),其他  負債  (億),負債  總額  (億),股東  權益  (億),每股  淨值  (元),財報  評分
111,107,3010,華立,87.9,22Q3,207,45,190,61.9,241,349,66.5,62.9,3.93,3.06,495,210,75.5,2.93,308,187,69.27,36
112,108,4551,智伸科,144.5,22Q3,166,22.9,32.5,19.6,59.5,82.7,,47,0.11,3.07,136,50.4,,0.06,56.4,79.6,69.08,55
114,109,4938,和碩,68.4,22Q4,1824,846,1916,1994,2852,5025,315,797,2.25,134,6362,3654,472,55.8,4217,2146,68.43,34
115,110,3708,上緯投控,103.5,22Q4,96.8,25.3,49.3,8.99,74.6,86.3,17,34.7,0.54,0.81,143,41.9,20.1,0.46,63.3,79.5,68.35,47
116,111,2428,興勤,140,22Q3,179,32.8,23.3,19.1,66.7,91.7,5.6,30.4,0.44,2.87,136,21.9,10.4,0.41,47.5,88.8,68.32,68
117,112,5534,長虹,75.8,22Q4,220,13.5,2.36,424,18.4,461,0.62,0.81,,2.53,465,266,0,0.5,266,199,67.93,62
118,113,6531,愛普*,324.5,22Q4,525,81.8,6.7,15.3,88.6,104,3.78,0.81,0.22,6.54,117,6.72,,0.14,7.41,110,67.77,89
119,114,5288,豐祥-KY,173,22Q4,114,14,14.7,11,33.9,46.9,5.68,21.3,0.04,0.04,77.1,27.6,4.65,0.13,32.6,44.5,67.19,60
120,115,3515,華擎,139,22Q4,170,35.9,16.3,80.1,55.6,140,0.02,4.62,0.07,0.39,148,58.1,,0.18,58.7,88.9,67.15,51
121,116,6278,台表科,92.5,22Q4,270,113,185,44.3,347,396,1.64,128,,10.5,552,296,28.6,0.97,355,196,67.09,47
122,117,8436,大江,195.5,22Q3,231,42.5,12.1,11.3,62.7,77.9,6.18,47.8,7.5,7.52,149,43.9,4.88,0.12,51.3,98.1,66.72,60
123,118,2729,瓦城,246,22Q3,77,6.74,3.37,1.26,12,14.8,0.12,18.7,0.18,0.98,48,17.4,0,0.1,27.9,20.1,66.53,51
124,119,9802,鈺齊-KY,129.5,22Q4,241,22,46.6,49.9,68.6,121,0.06,87.5,0.16,1.12,229,90.9,0,2.1,103,126,66.43,57
125,120,2383,台光電,170.5,22Q4,568,104,117,42.4,222,266,,147,7.45,5.77,434,158,42.4,4.75,213,221,66.31,59
126,121,3563,牧德,185.5,22Q4,83,18.6,10.3,3.31,28.9,32.3,0.16,2.45,,1.84,39.6,6.91,0,0.1,9.44,30.2,65.16,79
127,122,5536,聖暉*,132,22Q4,155,64.1,84.2,12.5,226,251,7.68,6.9,0.92,0.4,271,145,7.57,0.6,163,108,64.67,53
128,123,3324,雙鴻,168.5,22Q4,149,14.8,45.7,20.7,60.6,84.2,1.28,27.2,1.73,0.82,117,56.2,2.55,,59.3,58.1,64.65,47
129,124,1707,葡萄王,173,22Q4,256,46.7,2.84,6.88,50.7,58,15,73.6,0.44,1.47,151,37.1,0,0.09,39.1,111,64.6,79
130,125,2227,裕日車,193.5,22Q4,580,26.1,5.04,,54.6,55.4,165,12.3,0.54,4.33,245,22.9,,0.31,52.9,192,64.07,48
131,126,3532,台勝科,166,22Q4,644,108,31,35.1,139,176,0,155,0.07,25.7,360,52.2,49.9,9.29,112,248,64.03,83
133,127,4935,茂林-KY,57.8,22Q4,74.5,46.9,18.9,12.4,65.9,78.5,2.79,29.8,,0.36,118,26.7,1.88,0.67,35.9,82.5,64.03,55
134,128,2204,中華,58.5,22Q3,324,83.6,29.4,36.1,118,172,243,62,4.34,33.3,521,68.9,0.69,49.8,129,392,64.01,38
135,129,3357,臺慶科,112.5,22Q4,115,15.3,18.1,9.44,33.4,43.2,3.81,44,0.43,0.32,92.5,13.7,10.9,0.13,27.3,65.2,63.95,68
136,130,2636,台驊投控,79.7,22Q4,114,95.7,23.9,,139,156,1.68,8.45,5.51,1.51,177,80.9,3.38,0.74,86.9,90.1,63.69,57
137,131,1477,聚陽,222.5,22Q4,538,27.6,12,52.4,41.2,180,2.89,52.3,0.29,3.83,244,85.1,0,2.44,89.8,154,63.5,64
138,132,2637,慧洋-KY,67.5,22Q4,504,64,2.33,1.95,70.3,97.5,4.19,763,,21,941,110,273,47.3,470,471,63.09,79
139,133,1525,江申,63.8,22Q3,46.8,6.2,3.86,2.56,10.2,13.6,36.7,5.37,0.03,0.14,55.9,5.89,0.69,0.1,9.69,46.2,63.01,53
