,序號,券商,價格,買進股數,賣出股數
558,559,921E凱基三峽,36.90,1000,0
559,560,921J凱基土城,36.45,1000,0
560,561,921J凱基土城,37.00,0,1000
561,562,9227凱基城中,36.35,0,20000
562,563,9227凱基城中,36.45,0,10000
563,564,9227凱基城中,36.55,0,10000
564,565,9227凱基城中,36.65,1000,0
565,566,9227凱基城中,36.70,0,10000
566,567,9227凱基城中,36.75,0,20000
567,568,9227凱基城中,36.85,0,16000
568,569,9227凱基城中,37.00,0,15000
569,570,9229凱基中山,36.95,0,250
570,571,9233凱基長庚,36.60,2000,0
571,572,9235凱基永華,36.80,0,1000
572,573,9235凱基永華,36.85,0,2000
573,574,9238凱基士林,36.40,3000,0
574,575,9239凱基市政,36.40,1000,0
575,576,9239凱基市政,36.70,1,1000
576,577,9252凱基嘉義,36.35,1000,0
577,578,9252凱基嘉義,36.60,1000,0
578,579,9257凱基林口,36.40,2000,0
579,580,9257凱基林口,36.90,1000,0
580,581,9257凱基林口,37.00,2000,0
581,582,9266凱基新豐,36.55,3000,0
582,583,9268凱基台北,36.50,1000,0
583,584,9268凱基台北,36.55,0,1000
584,585,9268凱基台北,36.60,0,5000
585,586,9268凱基台北,36.65,18000,1000
586,587,9268凱基台北,36.70,5000,9000
587,588,9268凱基台北,36.75,11000,17000
588,589,9268凱基台北,36.80,8000,0
589,590,9268凱基台北,36.85,13000,0
590,591,9268凱基台北,37.00,17000,0
591,592,9275凱基三多,36.80,1000,0
592,593,9275凱基三多,36.95,2000,0
593,594,9278凱基永康,36.50,0,4000
594,595,9285凱基中壢,37.00,100,0
595,596,9287凱基內湖,36.55,1000,0
596,597,9287凱基內湖,37.00,0,3000
597,598,9288凱基埔墘,36.50,0,5000
598,599,9288凱基埔墘,37.00,12,0
599,600,9291凱基大安,37.00,60,0
600,601,9296凱基頭份,36.30,0,1000
601,602,9302華南台中,36.50,1000,0
602,603,9306華南台南,36.85,1000,0
603,604,9314華南嘉義,36.65,80,0
604,605,9316華南淡水,36.60,50,0
605,606,9316華南淡水,36.65,0,4000
606,607,9316華南淡水,36.75,0,3000
607,608,9319華南鶯歌,36.65,0,2000
608,609,9319華南鶯歌,36.75,0,2000
609,610,9322華南公誠,36.50,1000,0
610,611,9323華南小港,36.50,0,15000
611,612,9325華南忠孝,37.00,0,220
612,613,9327華南斗六,36.80,0,1000
613,614,9347華南敦南,36.55,1000,0
614,615,9347華南敦南,36.85,0,1000
615,616,9349華南合泰,36.35,1000,0
616,617,9349華南合泰,36.50,1000,0
617,618,9369華南三重,37.00,1000,0
618,619,9386華南東昇,36.50,0,1000
619,620,9604富邦陽明,36.40,1000,0
620,621,9604富邦陽明,36.45,0,20000
621,622,9604富邦陽明,36.65,1000,5000
622,623,9604富邦陽明,36.80,0,2000
623,624,9614富邦基隆,36.40,1000,0
624,625,9616富邦岡山,36.70,169,0
625,626,9616富邦岡山,36.85,74,0
626,627,9623富邦台北,36.50,1000,500
627,628,9623富邦台北,36.55,0,457
628,629,9623富邦台北,36.75,2000,0
629,630,9623富邦台北,36.80,0,2000
630,631,9625富邦竹東,36.50,1000,0
631,632,9634富邦羅東,37.00,500,0
632,633,9636富邦中壢,36.50,1000,0
633,634,9636富邦中壢,36.70,10000,0
634,635,9647富邦新竹,36.50,208,0
635,636,9654富邦永和,36.85,5000,0
636,637,9655富邦板橋,36.45,1000,0
637,638,9655富邦板橋,36.50,50,10000
638,639,9655富邦板橋,36.65,50,0
639,640,9657富邦苗栗,37.00,0,1000
640,641,9658富邦建國,36.50,1000,0
641,642,9658富邦建國,36.80,1000,1000
642,643,9658富邦建國,36.95,1000,0
643,644,9658富邦建國,37.10,500,0
644,645,965K富邦台中,36.45,0,22000
645,646,965K富邦台中,36.70,0,1000
646,647,9661富邦新店,36.35,6000,0
647,648,9661富邦新店,36.50,1000,0
648,649,9661富邦新店,36.60,1000,1000
649,650,9661富邦新店,36.65,1000,0
650,651,9661富邦新店,36.70,0,2000
651,652,9661富邦新店,36.80,2000,0
652,653,9661富邦新店,37.00,0,1000
653,654,9663富邦敦南,36.60,1000,0
654,655,9663富邦敦南,36.90,1000,0
655,656,9666富邦南屯,36.50,0,100
656,657,9666富邦南屯,36.60,0,1000
657,658,9667富邦台南,36.85,1000,0
658,659,9672富邦員林,36.70,1,0
